Reg_No,Variation Number,Service Number,Current Traffic Area,Lic_No,Discs in Possession,AUTHDISCS,Granted_Date,Exp_Date,Description,Op_ID,Op_Name,trading_name,Address,start_point,finish_point,via,effective_date,received_date,end_date,Service_Type_Other_Details,Licence Status,Registration Status,Pub_Text,Service_Type_Description,Short Notice,Subsidies_Description,Subsidies_Details,Auth_Description,TAO Covered BY Area,Registration Code
PF0000459/27,25,1,F,PF0000459,486,475,01/03/1995,29/02/2020,Standard National,16441,CAMBUS LIMITED,STAGECOACH IN CAMBRIDGE,"100 COWLEY ROAD, CAMBRIDGE, CB4 0DN, GB",Arbury,Fulbourn,,01/01/2017,26/10/2016,,Change to timetable,Valid,Registered,Operating between Arbury and Fulbourn given service number 1 effective from 01-Jan-2017. To amend Timetable.,Normal Stopping,NO,In Part,Cambridgeshire County Council,Cambridgeshire County Council,East of England,27
PF0000459/28,30,2,F,PF0000459,486,475,01/03/1995,29/02/2020,Standard National,16441,CAMBUS LIMITED,STAGECOACH IN CAMBRIDGE,"100 COWLEY ROAD, CAMBRIDGE, CB4 0DN, GB",Waterbeach,Addenbrooke's,,23/07/2017,26/05/2017,,Change to route timetable,Valid,Registered,Operating between Waterbeach and Addenbrooke's given service number 2 / 2 effective from 23 July 2017. To amend Route and Timetable.,Normal Stopping,NO,In Part,Cambridgeshire County Council,Cambridgeshire County Council,East of England,28
PF0000459/29,16,3,F,PF0000459,486,475,01/03/1995,29/02/2020,Standard National,16441,CAMBUS LIMITED,STAGECOACH IN CAMBRIDGE,"100 COWLEY ROAD, CAMBRIDGE, CB4 0DN, GB",Fison Road,Fulbourn,,01/01/2017,26/10/2016,,Change to route and timetable,Valid,Registered,Operating between Fison Road and Fulbourn given service number 3 effective from 01-Jan-2017. To amend Route and Timetable.,Normal Stopping,NO,In Part,Cambridgeshire County Council,Cambridgeshire County Council,East of England,29
PF0000459/36,17,6,F,PF0000459,486,475,01/03/1995,29/02/2020,Standard National,16441,CAMBUS LIMITED,STAGECOACH IN CAMBRIDGE,"100 COWLEY ROAD, CAMBRIDGE, CB4 0DN, GB",Cambridge,Oakington,,05/11/2017,06/09/2017,,Change to Sunday/Bank Holiday timetable.,Valid,Registered,Operating between Cambridge and Oakington given service number 6 / 6 effective from 05 November 2017. To amend Timetable.,Normal Stopping,NO,In Part,Cambridgeshire County Council,Cambridgeshire County Council,East of England,36
PF0000459/40,31,7,F,PF0000459,486,475,01/03/1995,29/02/2020,Standard National,16441,CAMBUS LIMITED,STAGECOACH IN CAMBRIDGE,"100 COWLEY ROAD, CAMBRIDGE, CB4 0DN, GB",Saffron Walden,Cambridge,,05/11/2017,06/09/2017,,Removal of schoolday/non school day exceptions.,Valid,Registered,Operating between Saffron Walden and Cambridge given service number 7 / 7 effective from 05 November 2017. To amend Timetable.,Normal Stopping,NO,No,Cambridgeshire County Council,Essex County Council,East of England,40
PF0000459/40,31,7,F,PF0000459,486,475,01/03/1995,29/02/2020,Standard National,16441,CAMBUS LIMITED,STAGECOACH IN CAMBRIDGE,"100 COWLEY ROAD, CAMBRIDGE, CB4 0DN, GB",Saffron Walden,Cambridge,,05/11/2017,06/09/2017,,Removal of schoolday/non school day exceptions.,Valid,Registered,Operating between Saffron Walden and Cambridge given service number 7 / 7 effective from 05 November 2017. To amend Timetable.,Normal Stopping,NO,No,Cambridgeshire County Council,Cambridgeshire County Council,East of England,40
PF0000459/47,14,26,F,PF0000459,486,475,01/03/1995,29/02/2020,Standard National,16441,CAMBUS LIMITED,STAGECOACH IN CAMBRIDGE,"100 COWLEY ROAD, CAMBRIDGE, CB4 0DN, GB",Cambridge,Royston,,24/09/2017,26/07/2017,,Change to route and timetable.,Valid,Registered,Operating between Cambridge and Royston given service number 26 / 26 effective from 24 September 2017. To amend Route and Timetable.,Normal Stopping,NO,No,,Hertfordshire County Council,East of England,47
PF0000459/47,14,26,F,PF0000459,486,475,01/03/1995,29/02/2020,Standard National,16441,CAMBUS LIMITED,STAGECOACH IN CAMBRIDGE,"100 COWLEY ROAD, CAMBRIDGE, CB4 0DN, GB",Cambridge,Royston,,24/09/2017,26/07/2017,,Change to route and timetable.,Valid,Registered,Operating between Cambridge and Royston given service number 26 / 26 effective from 24 September 2017. To amend Route and Timetable.,Normal Stopping,NO,No,,Cambridgeshire County Council,East of England,47
PF0000459/48,24,12,F,PF0000459,486,475,01/03/1995,29/02/2020,Standard National,16441,CAMBUS LIMITED,STAGECOACH IN CAMBRIDGE,"100 COWLEY ROAD, CAMBRIDGE, CB4 0DN, GB",Cambridge,Ely,,05/11/2017,06/09/2017,,"Addition journey added, 0845 Newmarket to Cambridge Monday to Saturday.",Valid,Registered,Operating between Cambridge and Ely given service number 12 / 12 effective from 05 November 2017. To amend Timetable.,Normal Stopping,NO,No,Cambridgeshire County Council,Suffolk County Council,East of England,48
PF0000459/48,24,12,F,PF0000459,486,475,01/03/1995,29/02/2020,Standard National,16441,CAMBUS LIMITED,STAGECOACH IN CAMBRIDGE,"100 COWLEY ROAD, CAMBRIDGE, CB4 0DN, GB",Cambridge,Ely,,05/11/2017,06/09/2017,,"Addition journey added, 0845 Newmarket to Cambridge Monday to Saturday.",Valid,Registered,Operating between Cambridge and Ely given service number 12 / 12 effective from 05 November 2017. To amend Timetable.,Normal Stopping,NO,No,Cambridgeshire County Council,Cambridgeshire County Council,East of England,48
PF0000459/49,17,11,F,PF0000459,486,475,01/03/1995,29/02/2020,Standard National,16441,CAMBUS LIMITED,STAGECOACH IN CAMBRIDGE,"100 COWLEY ROAD, CAMBRIDGE, CB4 0DN, GB",Cambridge,Bury St Edmunds,,03/09/2017,02/08/2017,,Change to timetable.,Valid,Registered,Operating between Cambridge and Bury St Edmunds given service number 11 / 11 effective from 03 September 2017. To amend Route and Timetable.,Normal Stopping,Yes,No,Cambridgshire,Suffolk County Council,East of England,49
PF0000459/49,17,11,F,PF0000459,486,475,01/03/1995,29/02/2020,Standard National,16441,CAMBUS LIMITED,STAGECOACH IN CAMBRIDGE,"100 COWLEY ROAD, CAMBRIDGE, CB4 0DN, GB",Cambridge,Bury St Edmunds,,03/09/2017,02/08/2017,,Change to timetable.,Valid,Registered,Operating between Cambridge and Bury St Edmunds given service number 11 / 11 effective from 03 September 2017. To amend Route and Timetable.,Normal Stopping,Yes,No,Cambridgshire,Cambridgeshire County Council,East of England,49
PF0000459/50,18,10,F,PF0000459,486,475,01/03/1995,29/02/2020,Standard National,16441,CAMBUS LIMITED,STAGECOACH IN CAMBRIDGE,"100 COWLEY ROAD, CAMBRIDGE, CB4 0DN, GB",Cambridge,Newmarket,,03/09/2017,02/08/2017,,Change to timetable.,Valid,Registered,Operating between Cambridge and Newmarket given service number 10 / 10 effective from 03 September 2017. To amend Timetable.,Normal Stopping,Yes,No,Cambridgeshire County Council,Suffolk County Council,East of England,50
PF0000459/50,18,10,F,PF0000459,486,475,01/03/1995,29/02/2020,Standard National,16441,CAMBUS LIMITED,STAGECOACH IN CAMBRIDGE,"100 COWLEY ROAD, CAMBRIDGE, CB4 0DN, GB",Cambridge,Newmarket,,03/09/2017,02/08/2017,,Change to timetable.,Valid,Registered,Operating between Cambridge and Newmarket given service number 10 / 10 effective from 03 September 2017. To amend Timetable.,Normal Stopping,Yes,No,Cambridgeshire County Council,Cambridgeshire County Council,East of England,50
PF0000459/51,27,9,F,PF0000459,486,475,01/03/1995,29/02/2020,Standard National,16441,CAMBUS LIMITED,STAGECOACH IN CAMBRIDGE,"100 COWLEY ROAD, CAMBRIDGE, CB4 0DN, GB",Cambridge,Littleport,,03/09/2017,26/07/2017,,Change to timetable. Additional journey added at 1645 from Ely Market Street to Ely Hospital returning at 1655.,Valid,Registered,Operating between Cambridge and Littleport given service number 9 / 9 / X9 effective from 03 September 2017. To amend Timetable.,Normal Stopping,Yes,In Part,Cambridgeshire County Council,Cambridgeshire County Council,East of England,51
PF0000459/54,22,4,F,PF0000459,486,475,01/03/1995,29/02/2020,Standard National,16441,CAMBUS LIMITED,STAGECOACH IN CAMBRIDGE,"100 COWLEY ROAD, CAMBRIDGE, CB4 0DN, GB",Cambridge,Cambourne,,05/11/2017,06/09/2017,,Change to Sunday/Bank Holiday timetable.,Valid,Registered,Operating between Cambridge and Cambourne given service number 4 / 4 effective from 05 November 2017. To amend Timetable.,Normal Stopping,NO,No,Cambridgeshire County Council,Cambridgeshire County Council,East of England,54
PF0000459/55,8,16A,F,PF0000459,486,475,01/03/1995,29/02/2020,Standard National,16441,CAMBUS LIMITED,STAGECOACH IN CAMBRIDGE,"100 COWLEY ROAD, CAMBRIDGE, CB4 0DN, GB",Gt Thurlow,Cambridge,,05/01/2014,08/11/2013,,Change to route and timetable,Valid,Registered,Operating between Gt Thurlow and Cambridge given service number 16A effective from 05-Jan-2014. To amend Route and Timetable.,Normal Stopping,NO,No,Cambridgeshire County Council,Suffolk County Council,East of England,55
PF0000459/55,8,16A,F,PF0000459,486,475,01/03/1995,29/02/2020,Standard National,16441,CAMBUS LIMITED,STAGECOACH IN CAMBRIDGE,"100 COWLEY ROAD, CAMBRIDGE, CB4 0DN, GB",Gt Thurlow,Cambridge,,05/01/2014,08/11/2013,,Change to route and timetable,Valid,Registered,Operating between Gt Thurlow and Cambridge given service number 16A effective from 05-Jan-2014. To amend Route and Timetable.,Normal Stopping,NO,No,Cambridgeshire County Council,Cambridgeshire County Council,East of England,55
PF0000459/56,11,17,F,PF0000459,486,475,01/03/1995,29/02/2020,Standard National,16441,CAMBUS LIMITED,STAGECOACH IN CAMBRIDGE,"100 COWLEY ROAD, CAMBRIDGE, CB4 0DN, GB",Fen Estate,Stetchworth,,03/01/2017,08/11/2016,,Change to timetable.,Valid,Registered,Operating between Fen Estate and Stetchworth given service number 17 effective from 03 January 2017. To amend Timetable.,Normal Stopping,NO,No,Cambridgeshire County Council,Suffolk County Council,East of England,56
PF0000459/56,11,17,F,PF0000459,486,475,01/03/1995,29/02/2020,Standard National,16441,CAMBUS LIMITED,STAGECOACH IN CAMBRIDGE,"100 COWLEY ROAD, CAMBRIDGE, CB4 0DN, GB",Fen Estate,Stetchworth,,03/01/2017,08/11/2016,,Change to timetable.,Valid,Registered,Operating between Fen Estate and Stetchworth given service number 17 effective from 03 January 2017. To amend Timetable.,Normal Stopping,NO,No,Cambridgeshire County Council,Cambridgeshire County Council,East of England,56
PF0000459/63,31,TOUR,F,PF0000459,486,475,01/03/1995,29/02/2020,Standard National,16441,CAMBUS LIMITED,STAGECOACH IN CAMBRIDGE,"100 COWLEY ROAD, CAMBRIDGE, CB4 0DN, GB",Silver Street,Silver Street,,01/10/2017,27/07/2017,,Change to timetable - daily every 40 minutes,Valid,Registered,Operating between Silver Street and Silver Street given service number TOUR / Tour effective from 01 October 2017. To amend Timetable.,Limited Stop,NO,No,,Cambridgeshire County Council,East of England,63
PF0000459/65,2,28,F,PF0000459,486,475,01/03/1995,29/02/2020,Standard National,16441,CAMBUS LIMITED,STAGECOACH IN CAMBRIDGE,"100 COWLEY ROAD, CAMBRIDGE, CB4 0DN, GB",Gamlingay,St Neots,,08/04/2007,01/02/2008,,"Mondays to Saturdays only, five journeys in each direction.",Valid,Registered,,Normal Stopping,NO,In Part,CamCC,Cambridgeshire County Council,East of England,65
PF0000459/128,11,8,F,PF0000459,486,475,01/03/1995,29/02/2020,Standard National,16441,CAMBUS LIMITED,STAGECOACH IN CAMBRIDGE,"100 COWLEY ROAD, CAMBRIDGE, CB4 0DN, GB",Cambridge,Chatteris,,05/11/2017,06/09/2017,,"Schoolday journeys now operate MF, school holiday journeys removed. Change to Sunday/Bank Holiday timetable.",Valid,Registered,Operating between Cambridge and Chatteris given service number 8 / 8 effective from 05 November 2017. To amend Timetable.,Normal Stopping,NO,No,,Cambridgeshire County Council,East of England,128
PF0000459/130,0,7,F,PF0000459,486,475,01/03/1995,29/02/2020,Standard National,16441,CAMBUS LIMITED,STAGECOACH IN CAMBRIDGE,"100 COWLEY ROAD, CAMBRIDGE, CB4 0DN, GB",Porson Road,Sawston Village College,,10/06/2012,13/04/2012,,One journey in each direction school days only,Valid,Registered,"From: Porson Road
To: Sawston Village College
Via: 
Name or No: 7
Service Type: Normal Stopping
Effective Date: 10-Jun-2012
Other Details: One journey in each direction school days only",Normal Stopping,NO,No,,Essex County Council,East of England,130
PF0000459/130,0,7,F,PF0000459,486,475,01/03/1995,29/02/2020,Standard National,16441,CAMBUS LIMITED,STAGECOACH IN CAMBRIDGE,"100 COWLEY ROAD, CAMBRIDGE, CB4 0DN, GB",Porson Road,Sawston Village College,,10/06/2012,13/04/2012,,One journey in each direction school days only,Valid,Registered,"From: Porson Road
To: Sawston Village College
Via: 
Name or No: 7
Service Type: Normal Stopping
Effective Date: 10-Jun-2012
Other Details: One journey in each direction school days only",Normal Stopping,NO,No,,Cambridgeshire County Council,East of England,130
PF0000459/133,4,18,F,PF0000459,486,475,01/03/1995,29/02/2020,Standard National,16441,CAMBUS LIMITED,STAGECOACH IN CAMBRIDGE,"100 COWLEY ROAD, CAMBRIDGE, CB4 0DN, GB",Cambridge,Longstowe,,19/02/2017,18/01/2017,,Change to Monday to Friday times on the 0750 from Cambridge to Cambourne ONLY.,Valid,Registered,Operating between Cambridge and Longstowe given service number 18 / 18 effective from 19 February 2017. To amend Timetable.,Normal Stopping,Yes,No,Cambridgeshire County Council,Cambridgeshire County Council,East of England,133
PF0000459/134,3,703,F,PF0000459,486,475,01/03/1995,29/02/2020,Standard National,16441,CAMBUS LIMITED,STAGECOACH IN CAMBRIDGE,"100 COWLEY ROAD, CAMBRIDGE, CB4 0DN, GB",Bedford,Fenlake,,15/10/2017,13/09/2017,,Change to timetable.,Valid,Registered,Operating between Bedford and Fenlake given service number 703 / 3 effective from 15 October 2017. To amend Timetable.,Normal Stopping,Yes,No,Bedford Borough Council,Bedford County Council,East of England,134
PF0000459/135,6,6,F,PF0000459,486,475,01/03/1995,29/02/2020,Standard National,16441,CAMBUS LIMITED,STAGECOACH IN CAMBRIDGE,"100 COWLEY ROAD, CAMBRIDGE, CB4 0DN, GB",Bedford,Brickhill,,05/09/2016,18/07/2016,,The 1535 from St Thomas More school will now operate at 1545.,Valid,Registered,Operating between Bedford and Brickhill given service number 6 effective from 05-Sep-2016. To amend Timetable.,Normal Stopping,Yes,In Part,Bedford Borough Council,Bedford County Council,East of England,135
PF0000459/136,3,42,F,PF0000459,486,475,01/03/1995,29/02/2020,Standard National,16441,CAMBUS LIMITED,STAGECOACH IN CAMBRIDGE,"100 COWLEY ROAD, CAMBRIDGE, CB4 0DN, GB",Bedford,Flitwick,,27/11/2016,29/09/2016,,Change to timetable.,Valid,Registered,Operating between Bedford and Flitwick given service number 42 effective from 27-Nov-2016. To amend Timetable.,Normal Stopping,NO,No,,Bedford County Council,East of England,136
PF0000459/136,3,42,F,PF0000459,486,475,01/03/1995,29/02/2020,Standard National,16441,CAMBUS LIMITED,STAGECOACH IN CAMBRIDGE,"100 COWLEY ROAD, CAMBRIDGE, CB4 0DN, GB",Bedford,Flitwick,,27/11/2016,29/09/2016,,Change to timetable.,Valid,Registered,Operating between Bedford and Flitwick given service number 42 effective from 27-Nov-2016. To amend Timetable.,Normal Stopping,NO,No,,Central Bedfordshire County Council,East of England,136
PF0000459/137,4,773,F,PF0000459,486,475,01/03/1995,29/02/2020,Standard National,16441,CAMBUS LIMITED,STAGECOACH IN CAMBRIDGE,"100 COWLEY ROAD, CAMBRIDGE, CB4 0DN, GB",Bedford,Hitchin,,21/05/2017,24/03/2017,,Removal of Sunday and bank holiday journeys.,Valid,Registered,Operating between Bedford and Hitchin given service number 773 / 72 / 71 effective from 21 May 2017. To amend Timetable.,Normal Stopping,NO,No,Central Bedfordshire Council,Hertfordshire County Council,East of England,137
PF0000459/137,4,773,F,PF0000459,486,475,01/03/1995,29/02/2020,Standard National,16441,CAMBUS LIMITED,STAGECOACH IN CAMBRIDGE,"100 COWLEY ROAD, CAMBRIDGE, CB4 0DN, GB",Bedford,Hitchin,,21/05/2017,24/03/2017,,Removal of Sunday and bank holiday journeys.,Valid,Registered,Operating between Bedford and Hitchin given service number 773 / 72 / 71 effective from 21 May 2017. To amend Timetable.,Normal Stopping,NO,No,Central Bedfordshire Council,Bedford County Council,East of England,137
PF0000459/137,4,773,F,PF0000459,486,475,01/03/1995,29/02/2020,Standard National,16441,CAMBUS LIMITED,STAGECOACH IN CAMBRIDGE,"100 COWLEY ROAD, CAMBRIDGE, CB4 0DN, GB",Bedford,Hitchin,,21/05/2017,24/03/2017,,Removal of Sunday and bank holiday journeys.,Valid,Registered,Operating between Bedford and Hitchin given service number 773 / 72 / 71 effective from 21 May 2017. To amend Timetable.,Normal Stopping,NO,No,Central Bedfordshire Council,Central Bedfordshire County Council,East of England,137
PF0000459/139,7,899,F,PF0000459,486,475,01/03/1995,29/02/2020,Standard National,16441,CAMBUS LIMITED,STAGECOACH IN CAMBRIDGE,"100 COWLEY ROAD, CAMBRIDGE, CB4 0DN, GB",Milton Keynes,Luton Airport,,11/06/2017,13/04/2017,,Change to timetable.,Valid,Registered,Operating between Milton Keynes and Luton Airport given service number 899 / 99 effective from 11 June 2017. To amend Timetable.,Limited Stop,NO,No,,Luton Borough Council,East of England,139
PF0000459/139,7,899,F,PF0000459,486,475,01/03/1995,29/02/2020,Standard National,16441,CAMBUS LIMITED,STAGECOACH IN CAMBRIDGE,"100 COWLEY ROAD, CAMBRIDGE, CB4 0DN, GB",Milton Keynes,Luton Airport,,11/06/2017,13/04/2017,,Change to timetable.,Valid,Registered,Operating between Milton Keynes and Luton Airport given service number 899 / 99 effective from 11 June 2017. To amend Timetable.,Limited Stop,NO,No,,Milton Keynes Council,East of England,139
PF0000459/140,8,774,F,PF0000459,486,475,01/03/1995,29/02/2020,Standard National,16441,CAMBUS LIMITED,STAGECOACH IN CAMBRIDGE,"100 COWLEY ROAD, CAMBRIDGE, CB4 0DN, GB",Bedford,Luton,,21/05/2017,30/03/2017,,Monday to Friday 0435 journey from Bedford to Luton moved forward by 10 minutes.,Valid,Registered,Operating between Bedford and Luton given service number 774 / 81 effective from 21 May 2017. To amend Route and Timetable.,Normal Stopping,Yes,In Part,Bedford Borough Council,Luton Borough Council,East of England,140
PF0000459/140,8,774,F,PF0000459,486,475,01/03/1995,29/02/2020,Standard National,16441,CAMBUS LIMITED,STAGECOACH IN CAMBRIDGE,"100 COWLEY ROAD, CAMBRIDGE, CB4 0DN, GB",Bedford,Luton,,21/05/2017,30/03/2017,,Monday to Friday 0435 journey from Bedford to Luton moved forward by 10 minutes.,Valid,Registered,Operating between Bedford and Luton given service number 774 / 81 effective from 21 May 2017. To amend Route and Timetable.,Normal Stopping,Yes,In Part,Bedford Borough Council,Bedford County Council,East of England,140
PF0000459/140,8,774,F,PF0000459,486,475,01/03/1995,29/02/2020,Standard National,16441,CAMBUS LIMITED,STAGECOACH IN CAMBRIDGE,"100 COWLEY ROAD, CAMBRIDGE, CB4 0DN, GB",Bedford,Luton,,21/05/2017,30/03/2017,,Monday to Friday 0435 journey from Bedford to Luton moved forward by 10 minutes.,Valid,Registered,Operating between Bedford and Luton given service number 774 / 81 effective from 21 May 2017. To amend Route and Timetable.,Normal Stopping,Yes,In Part,Bedford Borough Council,Central Bedfordshire County Council,East of England,140
PF0000459/141,9,775,F,PF0000459,486,475,01/03/1995,29/02/2020,Standard National,16441,CAMBUS LIMITED,STAGECOACH IN CAMBRIDGE,"100 COWLEY ROAD, CAMBRIDGE, CB4 0DN, GB",Bedford,Northampton,,13/02/2017,20/12/2016,,Change to timetable.,Valid,Registered,Operating between Bedford and Northampton given service number 775 / 41 effective from 13 February 2017. To amend Route and Timetable.,Normal Stopping,Yes,In Part,Bedford Borough Council,Milton Keynes Council,East of England,141
PF0000459/141,9,775,F,PF0000459,486,475,01/03/1995,29/02/2020,Standard National,16441,CAMBUS LIMITED,STAGECOACH IN CAMBRIDGE,"100 COWLEY ROAD, CAMBRIDGE, CB4 0DN, GB",Bedford,Northampton,,13/02/2017,20/12/2016,,Change to timetable.,Valid,Registered,Operating between Bedford and Northampton given service number 775 / 41 effective from 13 February 2017. To amend Route and Timetable.,Normal Stopping,Yes,In Part,Bedford Borough Council,Northamptonshire County Council,East of England,141
PF0000459/141,9,775,F,PF0000459,486,475,01/03/1995,29/02/2020,Standard National,16441,CAMBUS LIMITED,STAGECOACH IN CAMBRIDGE,"100 COWLEY ROAD, CAMBRIDGE, CB4 0DN, GB",Bedford,Northampton,,13/02/2017,20/12/2016,,Change to timetable.,Valid,Registered,Operating between Bedford and Northampton given service number 775 / 41 effective from 13 February 2017. To amend Route and Timetable.,Normal Stopping,Yes,In Part,Bedford Borough Council,Bedford County Council,East of England,141
PF0000459/141,9,775,F,PF0000459,486,475,01/03/1995,29/02/2020,Standard National,16441,CAMBUS LIMITED,STAGECOACH IN CAMBRIDGE,"100 COWLEY ROAD, CAMBRIDGE, CB4 0DN, GB",Bedford,Northampton,,13/02/2017,20/12/2016,,Change to timetable.,Valid,Registered,Operating between Bedford and Northampton given service number 775 / 41 effective from 13 February 2017. To amend Route and Timetable.,Normal Stopping,Yes,In Part,Bedford Borough Council,Central Bedfordshire County Council,East of England,141
PF0000459/142,7,X5,F,PF0000459,486,475,01/03/1995,29/02/2020,Standard National,16441,CAMBUS LIMITED,STAGECOACH IN CAMBRIDGE,"100 COWLEY ROAD, CAMBRIDGE, CB4 0DN, GB",Cambridge,St Neots,,04/01/2015,07/11/2014,,Changes to route and timetable,Valid,Registered,Operating between Cambridge and St Neots given service number X5 effective from 04-Jan-2015. To amend Route and Timetable.,Limited Stop,NO,No,,Cambridgeshire County Council,East of England,142
PF0000459/143,3,755,F,PF0000459,486,475,01/03/1995,29/02/2020,Standard National,16441,CAMBUS LIMITED,STAGECOACH IN CAMBRIDGE,"100 COWLEY ROAD, CAMBRIDGE, CB4 0DN, GB",Elstow Park & Ride,Bedford,,15/10/2017,13/09/2017,,Change to timetable.,Valid,Registered,Operating between Elstow Park & Ride and Bedford given service number 755 / 2 effective from 15 October 2017. To amend Timetable.,Normal Stopping,Yes,No,Bedford Borough Council,Bedford County Council,East of England,143
PF0000459/144,2,708,F,PF0000459,486,475,01/03/1995,29/02/2020,Standard National,16441,CAMBUS LIMITED,STAGECOACH IN CAMBRIDGE,"100 COWLEY ROAD, CAMBRIDGE, CB4 0DN, GB",Bedford,Great Denham,,15/10/2017,13/09/2017,,Change to timetable.,Valid,Registered,Operating between Bedford and Great Denham given service number 708 / 8 effective from 15 October 2017. To amend Timetable.,Normal Stopping,Yes,In Part,Bedford Borough Council,Bedford County Council,East of England,144
PF0000459/146,3,707,F,PF0000459,486,475,01/03/1995,29/02/2020,Standard National,16441,CAMBUS LIMITED,STAGECOACH IN CAMBRIDGE,"100 COWLEY ROAD, CAMBRIDGE, CB4 0DN, GB",Bedford,Woodside,,15/10/2017,13/09/2017,,Change to timetable.,Valid,Registered,Operating between Bedford and Woodside given service number 707 / 7 effective from 15 October 2017. To amend Timetable.,Normal Stopping,Yes,In Part,Bedford Borough Council,Bedford County Council,East of England,146
PF0000459/147,1,701,F,PF0000459,486,475,01/03/1995,29/02/2020,Standard National,16441,CAMBUS LIMITED,STAGECOACH IN CAMBRIDGE,"100 COWLEY ROAD, CAMBRIDGE, CB4 0DN, GB",Bedford,Kempston,,15/10/2017,13/09/2017,,Change to timetable.,Valid,Registered,Operating between Bedford and Kempston given service number 701 / 1 effective from 15 October 2017. To amend Timetable.,Normal Stopping,Yes,No,,Bedford County Council,East of England,147
PF0000459/148,7,851,F,PF0000459,486,475,01/03/1995,29/02/2020,Standard National,16441,CAMBUS LIMITED,STAGECOACH IN CAMBRIDGE,"100 COWLEY ROAD, CAMBRIDGE, CB4 0DN, GB",Bedford,Rushden,,19/03/2017,07/02/2017,,0545 Bedford to Rushden and 0636 Rushden to Bedford moved forward by 10 minutes.,Valid,Registered,Operating between Bedford and Rushden given service number 851 / 51 effective from 19 March 2017. To amend Timetable.,Normal Stopping,Yes,No,,Northamptonshire County Council,East of England,148
PF0000459/148,7,851,F,PF0000459,486,475,01/03/1995,29/02/2020,Standard National,16441,CAMBUS LIMITED,STAGECOACH IN CAMBRIDGE,"100 COWLEY ROAD, CAMBRIDGE, CB4 0DN, GB",Bedford,Rushden,,19/03/2017,07/02/2017,,0545 Bedford to Rushden and 0636 Rushden to Bedford moved forward by 10 minutes.,Valid,Registered,Operating between Bedford and Rushden given service number 851 / 51 effective from 19 March 2017. To amend Timetable.,Normal Stopping,Yes,No,,Bedford County Council,East of England,148
PF0000459/148,7,851,F,PF0000459,486,475,01/03/1995,29/02/2020,Standard National,16441,CAMBUS LIMITED,STAGECOACH IN CAMBRIDGE,"100 COWLEY ROAD, CAMBRIDGE, CB4 0DN, GB",Bedford,Rushden,,19/03/2017,07/02/2017,,0545 Bedford to Rushden and 0636 Rushden to Bedford moved forward by 10 minutes.,Valid,Registered,Operating between Bedford and Rushden given service number 851 / 51 effective from 19 March 2017. To amend Timetable.,Normal Stopping,Yes,No,,Central Bedfordshire County Council,East of England,148
PF0000459/149,0,9,F,PF0000459,486,475,01/03/1995,29/02/2020,Standard National,16441,CAMBUS LIMITED,STAGECOACH IN CAMBRIDGE,"100 COWLEY ROAD, CAMBRIDGE, CB4 0DN, GB",Bedford,Shortstown,,31/03/2013,01/02/2013,,Current registration changing of operators licence,Valid,Registered,"From: Bedford
To: Shortstown
Via: 
Name or No: 9
Service Type: Normal Stopping
Effective Date: 31-Mar-2013
Other Details: Current registration changing of operators licence",Normal Stopping,NO,In Part,Bedford Borough Council,Bedford County Council,East of England,149
PF0000459/150,0,5,F,PF0000459,486,475,01/03/1995,29/02/2020,Standard National,16441,CAMBUS LIMITED,STAGECOACH IN CAMBRIDGE,"100 COWLEY ROAD, CAMBRIDGE, CB4 0DN, GB",Bedford,Elms Farm,,31/03/2013,01/02/2013,,Current registration changing of operators licence,Valid,Registered,"From: Bedford
To: Elms Farm
Via: 
Name or No: 5
Service Type: Normal Stopping
Effective Date: 31-Mar-2013
Other Details: Current registration changing of operators licence",Normal Stopping,NO,In Part,Bedford Borough Council,Bedford County Council,East of England,150
PF0000459/156,4,810,F,PF0000459,486,475,01/03/1995,29/02/2020,Standard National,16441,CAMBUS LIMITED,STAGECOACH IN CAMBRIDGE,"100 COWLEY ROAD, CAMBRIDGE, CB4 0DN, GB",Bedford,Goldington,,15/10/2017,13/09/2017,,Change to timetable.,Valid,Registered,Operating between Bedford and Goldington given service number 810 / 10 effective from 15 October 2017. To amend Timetable.,Normal Stopping,Yes,No,Bedford Borough Council,Bedford County Council,East of England,156
PF0000459/158,4,704,F,PF0000459,486,475,01/03/1995,29/02/2020,Standard National,16441,CAMBUS LIMITED,STAGECOACH IN CAMBRIDGE,"100 COWLEY ROAD, CAMBRIDGE, CB4 0DN, GB",Bedford,Goldington,,15/10/2017,13/09/2017,,Change to timetable.,Valid,Registered,Operating between Bedford and Goldington given service number 704 / 4 effective from 15 October 2017. To amend Timetable.,Normal Stopping,Yes,In Part,Bedford Borough Council,Bedford County Council,East of England,158
PF0000459/159,6,53,F,PF0000459,486,475,01/03/1995,29/02/2020,Standard National,16441,CAMBUS LIMITED,STAGECOACH IN CAMBRIDGE,"100 COWLEY ROAD, CAMBRIDGE, CB4 0DN, GB",Bedford,Cranfield,,01/01/2017,26/10/2016,,Change to route and timetable.,Valid,Registered,Operating between Bedford and Cranfield given service number 53 effective from 01-Jan-2017. To amend Route and Timetable.,Normal Stopping,NO,In Part,Bedford Borough Council,Bedfordshire County Council,East of England,159
